[25-Oct-2017 15:55:35] PHP Notice:  Use of undefined constant allVQ - assumed 'allVQ' in /home1/tltsecure/apache2/htdocs/vq/vqLib/list3.php on line 60
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:53] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
[27-Oct-2017 18:27:54] PHP Notice:  Undefined variable: useDir in /home1/tltsecure/apache2/htdocs/vq/vqLib/list.php on line 6
